player,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
Eden Hazard,MF,Belgium,31-345,1991,1.4,0,1,1,100.0,0.73,0.73,0.00,0.00,18.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Ederson,GK,Brazil,29-123,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Edimilson Fernandes,FW,Switzerland,26-247,1996,1.6,0,1,0,0.0,0.62,0.00,0.00,,24.2,0,0,0,0.0,0.0,0.03,0.0,0.0
Edinson Cavani,FW,Uruguay,35-307,1987,1.4,0,3,0,0.0,2.18,0.00,0.00,,13.8,0,0,0,0.3,0.3,0.10,-0.3,-0.3
Edouard Mendy,GK,Senegal,30-292,1992,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Edson Álvarez,MF,Mexico,25-055,1997,1.9,0,1,1,100.0,0.51,0.51,0.00,0.00,33.1,0,0,0,0.0,0.0,0.02,0.0,0.0
Eduardo Camavinga,DF,France,20-038,2002,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ehsan Hajsafi,MF,IR Iran,32-296,1990,2.6,0,1,0,0.0,0.38,0.00,0.00,,14.4,0,0,0,0.2,0.2,0.16,-0.2,-0.2
Ellyes Skhiri,MF,Tunisia,27-222,1995,3.0,0,2,0,0.0,0.67,0.00,0.00,,22.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Emiliano Martínez,GK,Argentina,30-107,1992,7.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Enner Valencia,FW,Ecuador,33-044,1989,2.8,3,8,3,37.5,2.82,1.06,0.25,0.67,18.9,1,1,1,2.3,1.5,0.19,+0.7,+0.5
Enzo Ebosse,DF,Cameroon,23-282,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Enzo Fernández,MF,Argentina,21-335,2001,6.3,1,8,3,37.5,1.28,0.48,0.13,0.33,24.9,0,0,0,0.3,0.3,0.04,+0.7,+0.7
Eray Cömert,DF,Switzerland,24-317,1998,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Eric Dier,DF,England,28-337,1994,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Eric Maxim Choupo-Moting,FW,Cameroon,33-270,1989,2.8,1,3,2,66.7,1.07,0.71,0.33,0.50,9.1,0,0,0,0.8,0.8,0.28,+0.2,+0.2
Erick Gutiérrez,MF,Mexico,27-186,1995,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ethan Ampadu,MF,Wales,22-095,2000,2.8,0,1,0,0.0,0.35,0.00,0.00,,32.4,0,0,0,0.0,0.0,0.04,0.0,0.0
Everton Ribeiro,MF,Brazil,33-252,1989,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Exequiel Palacios,MF,Argentina,24-074,1998,0.6,0,1,0,0.0,1.80,0.00,0.00,,16.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Fabian Frei,MF,Switzerland,33-344,1989,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Fabian Rieder,FW,Switzerland,20-305,2002,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Fabian Schär,DF,Switzerland,30-363,1991,1.5,0,2,0,0.0,1.33,0.00,0.00,,16.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Fabinho,MF,Brazil,29-056,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Facundo Pellistri,MF,Uruguay,20-363,2001,2.0,0,1,0,0.0,0.50,0.00,0.00,,11.5,0,0,0,0.2,0.2,0.17,-0.2,-0.2
Famara Diedhiou,FW,Senegal,30-003,1992,1.0,1,3,1,33.3,2.93,0.98,0.33,1.00,9.1,0,0,0,0.2,0.2,0.07,+0.8,+0.8
Federico Valverde,MF,Uruguay,24-149,1998,3.0,0,7,1,14.3,2.33,0.33,0.00,0.00,33.0,0,0,0,0.2,0.2,0.02,-0.2,-0.2
Ferjani Sassi,MF,Tunisia,30-275,1992,0.5,0,1,0,0.0,1.87,0.00,0.00,,33.3,0,0,0,0.0,0.0,0.02,0.0,0.0
Ferrán Torres,FW,Spain,22-292,2000,2.4,2,3,1,33.3,1.24,0.41,0.33,1.00,17.1,0,1,1,1.0,0.2,0.08,+1.0,+0.8
Filip Kostić,DF,Serbia,30-047,1992,2.0,0,1,0,0.0,0.50,0.00,0.00,,18.3,0,0,0,0.0,0.0,0.02,0.0,0.0
Filip Mladenović,DF,Serbia,31-125,1991,0.7,0,1,0,0.0,1.38,0.00,0.00,,10.7,0,0,0,0.0,0.0,0.02,0.0,0.0
Filip Đuričić,MF,Serbia,30-322,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Firas Al-Buraikan,MF,Saudi Arabia,22-218,2000,3.0,0,2,0,0.0,0.67,0.00,0.00,,15.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Fodé Ballo-Touré,DF,Senegal,25-349,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Fran Karačić,DF,Australia,26-220,1996,1.0,0,3,0,0.0,2.90,0.00,0.00,,26.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Francisco Calvo,DF,Costa Rica,30-163,1992,2.0,0,1,0,0.0,0.50,0.00,0.00,,28.8,0,0,0,0.0,0.0,0.01,0.0,0.0
Fred,MF,Brazil,29-288,1993,1.6,0,3,1,33.3,1.90,0.63,0.00,0.00,18.3,0,0,0,0.3,0.3,0.11,-0.3,-0.3
Frenkie de Jong,MF,Netherlands,25-220,1997,5.3,1,2,1,50.0,0.38,0.19,0.50,1.00,14.2,0,0,0,0.9,0.9,0.44,+0.1,+0.1
Félix Torres Caicedo,DF,Ecuador,25-341,1997,3.0,0,1,0,0.0,0.33,0.00,0.00,,8.5,0,0,0,0.1,0.1,0.12,-0.1,-0.1
Gabriel Jesus,FW,Brazil,25-259,1997,1.0,0,2,1,50.0,1.94,0.97,0.00,0.00,8.8,0,0,0,0.4,0.4,0.18,-0.4,-0.4
Garang Kuol,FW,Australia,18-094,2004,0.4,0,1,1,100.0,2.43,2.43,0.00,0.00,9.6,0,0,0,0.4,0.4,0.38,-0.4,-0.4
Gareth Bale,FW,Wales,33-155,1989,2.5,1,1,1,100.0,0.40,0.40,0.00,0.00,46.6,0,1,1,0.8,0.0,0.02,+0.2,0.0
Gavi,MF,Spain,18-135,2004,3.2,1,1,1,100.0,0.32,0.32,1.00,1.00,17.6,0,0,0,0.1,0.1,0.14,+0.9,+0.9
Gaël Ondoua,MF,Cameroon,27-044,1995,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Georges-Kévin N'Koudou,FW,Cameroon,27-308,1995,0.3,0,1,1,100.0,3.33,3.33,0.00,0.00,26.6,1,0,0,0.0,0.0,0.04,0.0,0.0
Germán Pezzella,DF,Argentina,31-174,1991,0.7,0,1,0,0.0,1.50,0.00,0.00,,10.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Gerson Torres,MF,Costa Rica,25-112,1997,0.7,0,1,0,0.0,1.41,0.00,0.00,,30.8,0,0,0,0.0,0.0,0.01,0.0,0.0
Ghaylène Chaalali,MF,Tunisia,28-293,1994,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Gideon Mensah,DF,Ghana,24-153,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Gio Reyna,FW,United States,20-035,2002,0.6,0,2,0,0.0,3.40,0.00,0.00,,20.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Giorgian De Arrascaeta,MF,Uruguay,28-200,1994,1.2,2,3,3,100.0,2.50,2.50,0.67,0.67,9.6,0,0,0,1.2,1.2,0.40,+0.8,+0.8
Gleison Bremer,DF,Brazil,25-275,1997,1.2,0,1,0,0.0,0.83,0.00,0.00,,5.5,0,0,0,0.2,0.2,0.17,-0.2,-0.2
Gonzalo Montiel,DF,Argentina,25-351,1997,1.3,0,1,0,0.0,0.76,0.00,0.00,,27.3,0,0,0,0.0,0.0,0.02,0.0,0.0
Gonzalo Plata,MF,Ecuador,22-047,2000,3.0,0,2,1,50.0,0.67,0.33,0.00,0.00,15.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Gonçalo Ramos,FW,Portugal,21-181,2001,1.7,3,7,5,71.4,4.14,2.96,0.43,0.60,11.3,0,0,0,1.6,1.6,0.22,+1.4,+1.4
Granit Xhaka,MF,Switzerland,30-082,1992,4.0,0,6,3,50.0,1.50,0.75,0.00,0.00,21.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Gregor Kobel,GK,Switzerland,25-012,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Grzegorz Krychowiak,MF,Poland,32-323,1990,3.7,0,1,0,0.0,0.27,0.00,0.00,,29.9,0,0,0,0.0,0.0,0.02,0.0,0.0
Guido Rodríguez,MF,Argentina,28-250,1994,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Guillermo Ochoa,GK,Mexico,37-158,1985,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Guillermo Varela,DF,Uruguay,29-269,1993,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Haji Wright,FW,United States,24-266,1998,1.5,1,6,2,33.3,3.94,1.31,0.17,0.50,13.6,0,0,0,0.5,0.5,0.09,+0.5,+0.5
Hakim Ziyech,FW,Morocco,29-274,1993,7.1,1,10,2,20.0,1.42,0.28,0.10,0.50,27.2,1,0,0,0.4,0.4,0.04,+0.6,+0.6
Hannibal Mejbri,MF,Tunisia,19-331,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Haris Seferović,FW,Switzerland,30-299,1992,0.8,0,1,0,0.0,1.27,0.00,0.00,,12.8,0,0,0,0.2,0.2,0.19,-0.2,-0.2
Harry Kane,FW,England,29-143,1993,4.5,2,10,5,50.0,2.24,1.12,0.10,0.20,20.4,0,1,2,2.7,1.1,0.11,-0.7,-0.1
Harry Maguire,DF,England,29-288,1993,4.8,0,6,1,16.7,1.26,0.21,0.00,0.00,10.0,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Harry Souttar,DF,Australia,24-057,1998,4.0,0,1,0,0.0,0.25,0.00,0.00,,8.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Harry Wilson,MF,Wales,25-271,1997,1.8,0,2,0,0.0,1.13,0.00,0.00,,20.9,1,0,0,0.1,0.1,0.05,-0.1,-0.1
Hassan Al Tambakti,DF,Saudi Arabia,23-312,1999,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Hassan Al-Haydos,MF,Qatar,32-007,1990,2.3,0,1,1,100.0,0.44,0.44,0.00,0.00,29.2,0,0,0,0.0,0.0,0.01,0.0,0.0
Hattan Bahebri,MF,Saudi Arabia,30-155,1992,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Henry Martín,FW,Mexico,30-030,1992,1.6,1,4,2,50.0,2.47,1.23,0.25,0.50,9.9,0,0,0,0.9,0.9,0.23,+0.1,+0.1
Hernán Galíndez,GK,Ecuador,35-263,1987,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Hidemasa Morita,MF,Japan,27-222,1995,3.2,0,3,1,33.3,0.95,0.32,0.00,0.00,22.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Hiroki Ito,DF,Japan,23-220,1999,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Hiroki Sakai,MF,Japan,32-250,1990,1.3,0,1,0,0.0,0.76,0.00,0.00,,5.4,0,0,0,0.5,0.5,0.53,-0.5,-0.5
Hirving Lozano,FW,Mexico,27-141,1995,2.8,0,6,3,50.0,2.14,1.07,0.00,0.00,26.0,1,0,0,0.2,0.2,0.03,-0.2,-0.2
Homam Ahmed,DF,Qatar,23-115,1999,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Hong Chul,DF,Korea Republic,32-092,1990,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Hossein Hosseini,GK,IR Iran,30-171,1992,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Hossein Kanaanizadegan,DF,IR Iran,28-270,1994,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Hugo Lloris,GK,France,35-357,1986,6.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Hwang Hee-chan,MF,Korea Republic,26-326,1996,1.3,1,6,5,83.3,4.70,3.91,0.17,0.20,17.5,0,0,0,0.9,0.9,0.15,+0.1,+0.1
Hwang In-beom,MF,Korea Republic,26-089,1996,3.7,0,6,1,16.7,1.62,0.27,0.00,0.00,27.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Hwang Ui-jo,FW,Korea Republic,30-112,1992,1.2,0,1,0,0.0,0.85,0.00,0.00,,10.5,0,0,0,0.5,0.5,0.47,-0.5,-0.5
Héctor Herrera,MF,Mexico,32-243,1990,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Héctor Moreno,DF,Mexico,34-335,1988,3.0,0,1,0,0.0,0.33,0.00,0.00,,5.8,0,0,0,0.2,0.2,0.18,-0.2,-0.2
Ibrahima Konaté,DF,France,23-207,1999,3.3,0,2,1,50.0,0.61,0.31,0.00,0.00,7.7,0,0,0,0.4,0.4,0.18,-0.4,-0.4
Idrissa Gana Gueye,MF,Senegal,33-083,1989,3.0,0,4,1,25.0,1.33,0.33,0.00,0.00,19.6,0,0,0,0.3,0.3,0.08,-0.3,-0.3
Ilias Chair,MF,Morocco,25-049,1997,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Iliman Ndiaye,FW,Senegal,22-287,2000,1.5,0,2,0,0.0,1.33,0.00,0.00,,18.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Ismail Jakobs,DF,Senegal,23-123,1999,3.1,0,1,0,0.0,0.32,0.00,0.00,,31.0,0,0,0,0.0,0.0,0.01,0.0,0.0
Ismail Mohamad,FW,Qatar,32-257,1990,1.9,0,2,2,100.0,1.03,1.03,0.00,0.00,,,0,0,,,,,
Ismaila Sarr,FW,Senegal,24-296,1998,3.8,1,10,1,10.0,2.62,0.26,0.00,0.00,16.5,0,1,1,1.7,0.9,0.09,-0.7,-0.9
Ismaël Koné,MF,Canada,20-195,2002,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Issam Jebali,FW,Tunisia,30-358,1991,2.0,0,3,1,33.3,1.48,0.49,0.00,0.00,10.4,0,0,0,0.5,0.5,0.18,-0.5,-0.5
Ivan Ilić,MF,Serbia,21-276,2001,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ivan Perišić,FW,Croatia,33-319,1989,7.4,1,16,4,25.0,2.15,0.54,0.06,0.25,20.0,1,0,0,0.9,0.9,0.06,+0.1,+0.1
Iñaki Williams,FW,Ghana,28-186,1994,3.0,0,2,0,0.0,0.67,0.00,0.00,,20.1,0,0,0,0.3,0.3,0.15,-0.3,-0.3
Jack Grealish,FW,England,27-099,1995,1.0,1,1,1,100.0,1.05,1.05,1.00,1.00,8.8,0,0,0,0.6,0.6,0.65,+0.4,+0.4
Jackson Irvine,MF,Australia,29-286,1993,3.9,0,3,0,0.0,0.76,0.00,0.00,,9.3,0,0,0,0.5,0.5,0.17,-0.5,-0.5
Jackson Porozo,DF,Ecuador,22-136,2000,1.1,0,1,0,0.0,0.94,0.00,0.00,,15.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Jakub Kamiński,MF,Poland,20-196,2002,2.6,0,4,1,25.0,1.55,0.39,0.00,0.00,10.1,0,0,0,0.4,0.3,0.07,-0.4,-0.3
Jakub Kiwior,DF,Poland,22-306,2000,3.9,0,1,0,0.0,0.25,0.00,0.00,,10.5,0,0,0,0.0,0.0,0.03,0.0,0.0
Jamal Musiala,MF,Germany,19-295,2003,2.9,0,12,3,25.0,4.19,1.05,0.00,0.00,14.5,0,0,0,1.9,1.9,0.16,-1.9,-1.9
Jamie Maclaren,FW,Australia,29-142,1993,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jan Bednarek,DF,Poland,26-250,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jan Vertonghen,DF,Belgium,35-238,1987,3.0,0,2,0,0.0,0.67,0.00,0.00,,10.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Jason Cummings,FW,Australia,27-139,1995,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jawad El Yamiq,DF,Morocco,30-292,1992,3.4,0,2,1,50.0,0.58,0.29,0.00,0.00,12.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Jean-Charles Castelletto,DF,Cameroon,27-326,1995,2.0,1,1,1,100.0,0.50,0.50,1.00,1.00,1.1,0,0,0,0.9,0.9,0.95,+0.1,+0.1
Jeong Woo-yeong,MF,Korea Republic,23-089,1999,0.5,0,1,0,0.0,2.00,0.00,0.00,,24.4,0,0,0,0.0,0.0,0.03,0.0,0.0
Jeremy Doku,MF,Belgium,20-205,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jeremy Sarmiento,MF,Ecuador,20-185,2002,0.9,0,1,1,100.0,1.06,1.06,0.00,0.00,14.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Jerome Ngom Mbekeli,MF,Cameroon,24-079,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jesper Lindstrøm,MF,Denmark,22-292,2000,2.2,0,3,1,33.3,1.35,0.45,0.00,0.00,16.2,0,0,0,0.3,0.3,0.10,-0.3,-0.3
Jesús Ferreira,FW,United States,21-359,2000,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jesús Gallardo,DF,Mexico,28-125,1994,3.0,0,1,0,0.0,0.33,0.00,0.00,,15.1,0,0,0,0.1,0.1,0.12,-0.1,-0.1
Jewison Bennette,MF,Costa Rica,18-186,2004,1.1,0,1,0,0.0,0.87,0.00,0.00,,28.6,0,0,0,0.0,0.0,0.04,0.0,0.0
Jhegson Méndez,MF,Ecuador,25-236,1997,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Joachim Andersen,DF,Denmark,26-201,1996,3.0,0,4,1,25.0,1.33,0.33,0.00,0.00,18.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Joakim Mæhle,DF,Denmark,25-212,1997,2.8,0,2,0,0.0,0.72,0.00,0.00,,28.9,0,0,0,0.0,0.0,0.02,0.0,0.0
Joe Allen,MF,Wales,32-279,1990,1.0,0,2,0,0.0,1.91,0.00,0.00,,24.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Joe Morrell,MF,Wales,25-349,1997,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Joe Rodon,DF,Wales,25-057,1997,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Joel Campbell,FW,Costa Rica,30-175,1992,3.0,0,1,0,0.0,0.33,0.00,0.00,,21.1,0,0,0,0.0,0.0,0.01,0.0,0.0
Johan Venegas,FW,Costa Rica,34-021,1988,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
John Stones,DF,England,28-204,1994,4.8,0,4,1,25.0,0.83,0.21,0.00,0.00,9.6,0,0,0,0.4,0.4,0.09,-0.4,-0.4
Jonas Hofmann,FW,Germany,30-157,1992,0.3,0,1,1,100.0,3.00,3.00,0.00,0.00,11.5,0,0,0,0.3,0.3,0.27,-0.3,-0.3
Jonathan David,FW,Canada,22-338,2000,2.1,0,8,1,12.5,3.75,0.47,0.00,0.00,14.1,0,0,0,1.0,0.7,0.09,-1.0,-0.7
Jonathan Osorio,MF,Canada,30-189,1992,1.3,0,1,0,0.0,0.76,0.00,0.00,,23.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Jordan Ayew,FW,Ghana,31-098,1991,1.5,0,1,1,100.0,0.66,0.66,0.00,0.00,21.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Jordan Henderson,MF,England,32-184,1990,3.0,1,2,1,50.0,0.66,0.33,0.50,1.00,18.5,0,0,0,0.2,0.2,0.08,+0.8,+0.8
Jordan Morris,FW,United States,28-053,1994,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jordan Pickford,GK,England,28-286,1994,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jordan Veretout,MF,France,29-292,1993,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jordi Alba,DF,Spain,33-272,1989,2.9,0,2,0,0.0,0.68,0.00,0.00,,26.6,0,0,0,0.0,0.0,0.02,0.0,0.0
Jorge Eduardo Sánchez,DF,Mexico,25-008,1997,1.9,0,1,1,100.0,0.51,0.51,0.00,0.00,18.3,0,0,0,0.0,0.0,0.02,0.0,0.0
Josh Sargent,FW,United States,22-301,2000,1.7,0,4,1,25.0,2.29,0.57,0.00,0.00,14.0,0,0,0,0.4,0.4,0.09,-0.4,-0.4
Joshua Kimmich,MF,Germany,27-313,1995,3.0,0,7,4,57.1,2.33,1.33,0.00,0.00,25.9,1,0,0,0.4,0.4,0.05,-0.4,-0.4
Josip Juranović,DF,Croatia,27-124,1995,6.7,0,1,0,0.0,0.15,0.00,0.00,,18.1,0,0,0,0.0,0.0,0.03,0.0,0.0
Josip Stanišić,DF,Croatia,22-260,2000,1.0,0,1,0,0.0,1.00,0.00,0.00,,28.6,0,0,0,0.0,0.0,0.02,0.0,0.0
Josip Šutalo,DF,Croatia,22-293,2000,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
José Cifuentes,MF,Ecuador,23-281,1999,0.7,0,1,1,100.0,1.53,1.53,0.00,0.00,29.4,0,0,0,0.0,0.0,0.02,0.0,0.0
José María Giménez,DF,Uruguay,27-332,1995,3.0,0,3,0,0.0,1.00,0.00,0.00,,13.2,0,0,0,0.2,0.2,0.06,-0.2,-0.2
João Cancelo,DF,Portugal,28-205,1994,3.4,0,2,1,50.0,0.58,0.29,0.00,0.00,15.4,0,0,0,0.0,0.0,0.02,0.0,0.0
João Félix,FW,Portugal,23-038,1999,3.7,1,11,3,27.3,2.99,0.82,0.09,0.33,18.6,0,0,0,0.9,0.9,0.08,+0.1,+0.1
João Mário,FW,Portugal,29-333,1993,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
João Palhinha,MF,Portugal,27-162,1995,0.4,0,1,0,0.0,2.37,0.00,0.00,,33.2,0,0,0,0.0,0.0,0.03,0.0,0.0
Joško Gvardiol,DF,Croatia,20-329,2002,7.7,1,2,1,50.0,0.26,0.13,0.50,1.00,16.8,0,0,0,0.1,0.1,0.07,+0.9,+0.9
Juan Foyth,DF,Argentina,24-340,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Juan Pablo Vargas,DF,Costa Rica,27-195,1995,1.0,1,2,2,100.0,2.00,2.00,0.50,0.50,3.9,0,0,0,0.5,0.5,0.27,+0.5,+0.5
Jude Bellingham,MF,England,19-172,2003,4.6,1,5,3,60.0,1.09,0.65,0.20,0.33,12.4,0,0,0,0.6,0.6,0.11,+0.4,+0.4
Jules Koundé,DF,France,24-036,1998,5.3,0,4,1,25.0,0.75,0.19,0.00,0.00,19.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Julián Álvarez,FW,Argentina,22-321,2000,5.2,4,11,8,72.7,2.13,1.55,0.36,0.50,12.2,0,0,0,2.6,2.6,0.24,+1.4,+1.4
Jung Woo-young,MF,Korea Republic,33-004,1989,3.4,0,1,0,0.0,0.30,0.00,0.00,,25.1,0,0,0,0.0,0.0,0.03,0.0,0.0
Junior Hoilett,FW,Canada,32-196,1990,1.8,0,4,0,0.0,2.24,0.00,0.00,,24.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Junya Ito,MF,Japan,29-284,1993,3.6,0,2,1,50.0,0.56,0.28,0.00,0.00,11.1,0,0,0,0.2,0.2,0.09,-0.2,-0.2
Jurriën Timber,DF,Netherlands,21-184,2001,4.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kai Havertz,FW,Germany,23-190,1999,1.1,2,5,3,60.0,4.41,2.65,0.40,0.67,13.1,0,0,0,1.4,1.4,0.27,+0.6,+0.6
Kalidou Koulibaly,DF,Senegal,31-181,1991,4.0,1,2,1,50.0,0.50,0.25,0.50,1.00,7.9,0,0,0,0.5,0.5,0.25,+0.5,+0.5
Kalvin Phillips,MF,England,27-016,1995,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kamal Miller,DF,Canada,25-216,1997,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kamaldeen Sulemana,FW,Ghana,20-306,2002,0.6,0,1,1,100.0,1.55,1.55,0.00,0.00,21.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Kamil Glik,DF,Poland,34-318,1988,4.0,0,3,0,0.0,0.75,0.00,0.00,,11.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Kamil Grosicki,MF,Poland,34-193,1988,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kaoru Mitoma,MF,Japan,25-212,1997,1.8,0,1,1,100.0,0.55,0.55,0.00,0.00,21.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Karim Ansarifard,FW,IR Iran,32-259,1990,0.4,0,1,0,0.0,2.57,0.00,0.00,,21.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Karim Boudiaf,MF,Qatar,32-093,1990,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Karl Toko Ekambi,FW,Cameroon,30-095,1992,1.8,0,2,1,50.0,1.08,0.54,0.00,0.00,15.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2
Karol Świderski,FW,Poland,25-329,1997,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kasper Dolberg,FW,Denmark,25-073,1997,1.3,0,3,1,33.3,2.37,0.79,0.00,0.00,8.6,0,0,0,0.4,0.4,0.13,-0.4,-0.4
Kasper Schmeichel,GK,Denmark,36-043,1986,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
